Rk,Player,Tm▲,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28,Guaranteed,-9999
1,Vit Krejci,ATL,$1563518,$1836096,$1988598,,,,$781759,krejcvi01
2,Aaron Holiday,ATL,$1836090,,,,,,$1836090,holidaa01
3,Frank Kaminsky,ATL,$1836090,,,,,,$1836090,kaminfr01
4,Jalen Johnson,ATL,$2792640,$2925360,$4510905,,,,$2792640,johnsja05
5,AJ Griffin,ATL,$3536160,$3712920,$3889920,$5967137,,,$7249080,griffaj01
6,Justin Holiday,ATL,$6292440,,,,,,$6292440,holidju01
7,Onyeka Okongwu,ATL,$6395160,$8109063,,,,,$6395160,okongon01
8,De'Andre Hunter,ATL,$9835881,,,,,,$9835881,huntede01
9,Dejounte Murray,ATL,$16571120,$17714000,,,,,$34285120,murrade01
10,Bogdan Bogdanović,ATL,$18000000,$18000000,,,,,$18000000,bogdabo01
11,Clint Capela,ATL,$18706896,$20616000,$22265280,,,,$61588176,capelca01
12,John Collins,ATL,$23500000,$25340000,$26580000,$26580000,,,$102000000,collijo01
13,Trae Young,ATL,$37096500,$40064220,$43031940,$45999660,$48967380,,$215159700,youngtr01
14,Demetrius Jackson,BOS,$92857,$92857,,,,,$185714,jacksde01
15,Sam Hauser,BOS,$1637966,$1927896,$2092344,,,,$5658206,hausesa01
16,Luke Kornet,BOS,$2133278,$2413304,,,,,$4546582,kornelu01
17,Payton Pritchard,BOS,$2239200,$4037277,,,,,$2239200,pritcpa01
18,Grant Williams,BOS,$4306281,,,,,,$4306281,willigr01
19,Danilo Gallinari,BOS,$16907880,$6802950,,,,,$13281950,gallida01
20,Robert Williams,BOS,$10937502,$11812501,$12687500,$13562499,,,$49000002,williro04
21,Derrick White,BOS,$16892857,$18107143,$19321429,,,,$54321429,whitede01
22,Marcus Smart,BOS,$17207142,$18583713,$19960284,$21336855,,,$77087994,smartma01
23,Malcolm Brogdon,BOS,$22600000,$22500000,$22500000,,,,$67600000,brogdma01
24,Al Horford,BOS,$26500000,,,,,,$19500000,horfoal01
25,Jaylen Brown,BOS,$28741071,$30723215,,,,,$59464286,brownja02
26,Jayson Tatum,BOS,$30351780,$32600060,$34848340,$37096620,,,$97800180,tatumja01
27,Kessler Edwards,BRK,$1637966,$1927896,,,,,$1637966,edwarke02
28,T.J. Warren,BRK,$1836090,,,,,,$1836090,warretj01
29,Edmond Sumner,BRK,$1968175,$2239943,,,,,$1968175,sumneed01
30,Day'Ron Sharpe,BRK,$2109480,$2210040,$3989122,,,,$2109480,sharpda01
31,Cam Thomas,BRK,$2138160,$2240160,$4041249,,,,$2138160,thomaca02
32,Jevon Carter,BRK,$6025000,$2239943,,,,,$3925000,carteje01
33,Patty Mills,BRK,$6479000,$6802950,,,,,$13281950,millspa02
34,Seth Curry,BRK,$8496653,,,,,,$8496653,curryse01
35,Nic Claxton,BRK,$8500000,$8750000,,,,,$17250000,claxtni01
36,Royce O'Neale,BRK,$9200000,$9500000,,,,,$11700000,onealro01
37,Joe Harris,BRK,$18642857,$19928571,,,,,$38571428,harrijo01
38,Ben Simmons,BRK,$35448672,$37893408,$40338144,,,,$113680224,simmobe01
39,Kyrie Irving,BRK,$36934550,,,,,,$36934550,irvinky01
40,Kevin Durant,BRK,$44119845,$47649433,$51179021,$54708609,,,$197656908,duranke01
41,Javon Freeman-Liberty,CHI,$1017781,,,,,,,freemja01
42,Ayo Dosunmu,CHI,$1563518,,,,,,,dosunay01
43,Marko Simonovic,CHI,$1563518,$1836096,,,,,$1563518,simonma01
44,Carlik Jones,CHI,$1637966,,,,,,$1637966,jonesca03
45,Javonte Green,CHI,$1815677,,,,,,$1815677,greenja02
46,Tony Bradley,CHI,$2036318,,,,,,$2036318,bradlto01
47,Dalen Terry,CHI,$3191400,$3350760,$3510480,$5399118,,,$6542160,terryda01
48,Derrick Jones Jr.,CHI,$3200000,$3360000,,,,,$3200000,jonesde02
49,Andre Drummond,CHI,$3200000,$3360000,,,,,$6560000,drumman01
50,Coby White,CHI,$7413955,,,,,,$7413955,whiteco01
51,Patrick Williams,CHI,$7775400,$9835881,,,,,$7775400,willipa01
52,Alex Caruso,CHI,$9030000,$9460000,$9890000,,,,$28380000,carusal01
53,Lonzo Ball,CHI,$19534884,$20465117,$21395348,,,,$40000001,balllo01
54,Nikola Vučević,CHI,$22000000,,,,,,$22000000,vucevni01
55,DeMar DeRozan,CHI,$27300000,$28600000,,,,,$55900000,derozde01
56,Zach LaVine,CHI,$37096500,$40064220,$43031940,$45999660,$48967380,,$166192320,lavinza01
57,JT Thor,CHO,$1563518,$1836096,$1988598,,,,$1563518,thorjt01
58,Nick Richards,CHO,$1782621,,,,,,,richani01
59,Jalen McDaniels,CHO,$1930681,,,,,,$1930681,mcdanja01
60,Kai Jones,CHO,$2909040,$3047880,$4693735,,,,$2909040,joneska01
61,Mark Williams,CHO,$3722040,$3908160,$4094280,$6276531,,,$7630200,willima07
62,James Bouknight,CHO,$4362240,$4570080,$6064496,,,,$4362240,bouknja01
63,P.J. Washington,CHO,$5808435,,,,,,$5808435,washipj01
64,Cody Martin,CHO,$7000000,$7560000,$8120000,$8680000,,,$22680000,martico01
65,LaMelo Ball,CHO,$8623920,$10900635,,,,,$8623920,ballla01
66,Nicolas Batum,CHO,$19700319,$11710818,,,,,$8856969,batumni01
67,Mason Plumlee,CHO,$9080417,,,,,,$9080417,plumlma01
68,Kelly Oubre Jr.,CHO,$12600000,,,,,,$5000000,oubreke01
69,Terry Rozier,CHO,$21486316,$23205221,$24924126,$26643031,,,$96258694,roziete01
70,Gordon Hayward,CHO,$30075000,$31500000,,,,,$61575000,haywago01
71,Lamar Stevens,CLE,$1782621,$1930681,,,,,,stevela01
72,Raul Neto,CLE,$1836090,,,,,,$1836090,netora01
73,Robin Lopez,CLE,$1836090,,,,,,$1836090,lopezro01
74,Dean Wade,CLE,$1930681,,,,,,$1930681,wadede01
75,Dylan Windler,CLE,$4037278,,,,,,$4037278,windldy01
76,Ricky Rubio,CLE,$5853659,$6146342,$6439025,,,,$16250001,rubiori01
77,Isaac Okoro,CLE,$7040880,$8920795,,,,,$7040880,okorois01
78,Cedi Osman,CLE,$7426088,$6718842,,,,,$7426088,osmande01
79,Evan Mobley,CLE,$8478720,$8882640,$11227657,,,,$8478720,mobleev01
80,Darius Garland,CLE,$8920795,$33250000,$35910000,$38570000,$41230000,$43890000,$201770795,garlada01
81,Caris LeVert,CLE,$18796296,,,,,,$18796296,leverca01
82,Jarrett Allen,CLE,$20000000,$20000000,$20000000,$20000000,,,$80000000,allenja01
83,Kevin Love,CLE,$28942830,,,,,,$28942830,loveke01
84,Donovan Mitchell,CLE,$30351780,$32600060,$34848340,$37096620,,,$97800180,mitchdo01
85,Jaden Hardy,DAL,$1017781,$1719864,$2019699,,,,$3137645,hardyja02
86,Tyler Hall,DAL,$1637966,,,,,,,hallty01
87,McKinley Wright IV,DAL,$1637966,,,,,,,wrighmc01
88,Tyrell Terry,DAL,$1782621,,,,,,$1782621,terryty01
89,Theo Pinson,DAL,$1836090,,,,,,$1836090,pinsoth01
90,Frank Ntilikina,DAL,$2036318,,,,,,,ntilila01
91,Josh Green,DAL,$3098400,$4765339,,,,,$3098400,greenjo02
92,JaVale McGee,DAL,$5461219,$5734280,$6007341,,,,$17202840,mcgeeja01
93,Maxi Kleber,DAL,$9000000,,,,,,,klebima01
94,Reggie Bullock,DAL,$10012800,$10489600,,,,,$15464000,bullore01
95,Dwight Powell,DAL,$11080125,,,,,,$11080125,poweldw01
96,Dorian Finney-Smith,DAL,$12402000,$13394160,$14386320,$15378480,,,$40182480,finnedo01
97,Christian Wood,DAL,$14317459,,,,,,$14317459,woodch01
98,Dāvis Bertāns,DAL,$16000000,$17000000,$16000000,,,,$44000000,bertada01
99,Tim Hardaway Jr.,DAL,$19602273,$17897728,$16193183,,,,$53693184,hardati02
100,Spencer Dinwiddie,DAL,$20171427,$21028570,,,,,$30171427,dinwisp01
101,Luka Dončić,DAL,$37096500,$40064220,$43031940,$45999660,$48967380,,$215159700,doncilu01
102,Kellan Grady,DEN,$1017781,,,,,,,gradyke01
103,Adonis Arms,DEN,$1017781,,,,,,,armsad01
104,DeAndre Jordan,DEN,$9663997,,,,,,$1836090,jordade01
105,Davon Reed,DEN,$1902133,$2066585,,,,,$3968718,reedda01
106,Peyton Watson,DEN,$2193960,$2303520,$2413560,$4356476,,,$4497480,watsope01
107,Bones Hyland,DEN,$2201520,$2306400,$4158439,,,,$2201520,hylanbo01
108,Vlatko Čančar,DEN,$2234359,$2234359,$2346606,,,,$4468718,cancavl01
109,Zeke Nnaji,DEN,$2617800,$4306281,,,,,$2617800,nnajize01
110,Christian Braun,DEN,$2808600,$2949120,$3089640,$4921797,,,$5757720,braunch01
111,Jeff Green,DEN,$4500000,,,,,,$4500000,greenje02
112,Ish Smith,DEN,$4725000,,,,,,$4725000,smithis01
113,Bruce Brown,DEN,$6479000,$6802950,,,,,$6479000,brownbr01
114,Kentavious Caldwell-Pope,DEN,$14004703,$14704938,$15440185,,,,$19593056,caldwke01
115,Aaron Gordon,DEN,$19690909,$21266182,$22841455,$22841455,,,$63798546,gordoaa01
116,Michael Porter Jr.,DEN,$30913750,$33386850,$35859950,$38333050,$40806150,,$150493600,portemi01
117,Jamal Murray,DEN,$31650600,$33833400,$36016200,,,,$101500200,murraja01
118,Nikola Jokić,DEN,$33047803,$46550000,$50274000,$53998000,$57722000,$61446000,$241591803,jokicni01
119,Isaiah Livers,DET,$1563518,$1836096,,,,,$1563518,liveris01
120,Rodney McGruder,DET,$1836090,,,,,,$1836090,mcgruro01
121,Dewayne Dedmon,DET,$7566667,$7190667,$2866667,,,,$8600001,dedmode01
122,Saddiq Bey,DET,$2959080,$4556983,,,,,$7516063,beysa01
123,Kevin Knox,DET,$3000000,$3000000,,,,,$3000000,knoxke01
124,Isaiah Stewart,DET,$3433320,$5266713,,,,,$8700033,stewais01
125,Jalen Duren,DET,$4124280,$4330680,$4536840,$6483144,,,$8454960,durenja01
126,Cory Joseph,DET,$5155500,,,,,,$5155500,josepco01
127,Hamidou Diallo,DET,$5200000,,,,,,$5200000,diallha01
128,Killian Hayes,DET,$5837760,$7413955,,,,,$13251715,hayeski01
129,Jaden Ivey,DET,$7252200,$7614480,$7977240,$10107163,,,$14866680,iveyja01
130,DeAndre Jordan,DET,$9663997,,,,,,$7827907,jordade01
131,Kemba Walker,DET,$9165471,,,,,,$9165471,walkeke02
132,Nerlens Noel,DET,$9240000,$9680000,,,,,$9240000,noelne01
133,Alec Burks,DET,$10012800,$10489600,,,,,$10012800,burksal01
134,Cade Cunningham,DET,$10552800,$11055360,$13940809,,,,$21608160,cunnica01
135,Marvin Bagley III,DET,$12500000,$12500000,$12500000,,,,$37500000,baglema01
136,Bojan Bogdanović,DET,$19550000,,,,,,$19550000,bogdabo02
137,Mac McClung,GSW,$1637966,,,,,,,mccluma01
138,JaMychal Green,GSW,$10036090,,,,,,$1836090,greenja01
139,Patrick Baldwin Jr.,GSW,$2226000,$2337720,$2448840,$4420156,,,$4563720,baldwpa01
140,Moses Moody,GSW,$3740160,$3918480,$5803269,,,,$3740160,moodymo01
141,Jordan Poole,GSW,$3901399,,,,,,$3901399,poolejo01
142,Donte DiVincenzo,GSW,$4500000,$4725000,,,,,$4500000,divindo01
143,Jonathan Kuminga,GSW,$5739840,$6012840,$7636307,,,,$5739840,kuminjo01
144,Kevon Looney,GSW,$8000000,$8500000,$9000000,,,,$25500000,looneke01
145,James Wiseman,GSW,$9603360,$12119440,,,,,$9603360,wisemja01
146,Draymond Green,GSW,$25806468,$27586224,,,,,$25806468,greendr01
147,Andrew Wiggins,GSW,$33616770,,,,,,$33616770,wiggian01
148,Klay Thompson,GSW,$40600080,$43219440,,,,,$83819520,thompkl01
149,Stephen Curry,GSW,$48070014,$51915615,$55761216,$59606817,,,$215353662,curryst01
150,Troy Williams,HOU,$122741,,,,,,$122741,willitr02
151,D.J. Augustin,HOU,$333333,,,,,,$333333,augusdj01
152,Daishen Nix,HOU,$1563518,$1836096,$1988598,,,,$1563518,nixda01
153,Kenyon Martin Jr.,HOU,$1782621,$1930681,,,,,,martike04
154,Bruno Fernando,HOU,$1836090,,,,,,,fernabr01
155,Garrison Mathews,HOU,$2000000,$2000000,$2230253,,,,,mathega01
156,Marquese Chriss,HOU,$2193920,,,,,,$2193920,chrisma01
157,TyTy Washington Jr.,HOU,$2210040,$2320440,$2431080,$4388099,,,$4530480,washity02
158,Josh Christopher,HOU,$2372160,$2485200,$4346615,,,,$2372160,chrisjo01
159,Usman Garuba,HOU,$2471160,$2588400,$4392515,,,,$2471160,garubus01
160,Sterling Brown,HOU,$3000000,,,,,,$3000000,brownst02
161,Kevin Porter Jr.,HOU,$3217631,,,,,,$3217631,porteke02
162,Tari Eason,HOU,$3359160,$3527160,$3695160,$5675766,,,$6886320,easonta01
163,Alperen Şengün,HOU,$3375360,$3536280,$5424654,,,,$3375360,sengual01
164,Trey Burke,HOU,$3423750,,,,,,$3423750,burketr01
165,Boban Marjanović,HOU,$3500000,,,,,,$3500000,marjabo01
166,David Nwaba,HOU,$5022000,$5394000,,,,,$5022000,nwabada01
167,Jae'Sean Tate,HOU,$7065217,$6500000,$7065217,,,,$13565217,tateja01
168,Jabari Smith Jr.,HOU,$8882640,$9326520,$9770880,$12350392,,,$18209160,smithja05
169,Jalen Green,HOU,$9441840,$9891480,$12483048,,,,$9441840,greenja05
170,Eric Gordon,HOU,$19568360,$20917902,,,,,$19568360,gordoer01
171,John Wall,HOU,$47345760,$6802950,,,,,$40866760,walljo01
172,Malik Fitts,IND,$555217,$555217,$555216,,,,$1665650,fittsma01
173,Juwan Morgan,IND,$576230,$576230,$576229,,,,$1728689,morgaju01
174,Nik Stauskas,IND,$702311,$702311,$702310,,,,$2106932,stausni01
175,Terry Taylor,IND,$1563518,$1836096,,,,,$625000,taylote01
176,Deividas Sirvydis,IND,$1782621,,,,,,,sirvyde01
177,Oshae Brissett,IND,$1846738,,,,,,,brissos01
178,Isaiah Jackson,IND,$2573760,$2696280,$4435381,,,,$2573760,jacksis01
179,Aaron Nesmith,IND,$3804360,$5634257,,,,,$3804360,nesmiaa01
180,Chris Duarte,IND,$3936960,$4124400,$5893768,,,,$3936960,duartch01
181,Tyrese Haliburton,IND,$4215120,$5808435,,,,,$4215120,halibty01
182,Jalen Smith,IND,$4670160,$5043773,$5417386,,,,$9713933,smithja04
183,Goga Bitadze,IND,$4765339,,,,,,$4765339,bitadgo01
184,Bennedict Mathurin,IND,$6586800,$6916080,$7245720,$9187573,,,$13502880,mathube01
185,T.J. McConnell,IND,$8100000,$8700000,$9300000,,,,$21800000,mccontj01
186,Daniel Theis,IND,$8694369,$9108387,$9522405,,,,$17802756,theisda01
187,Myles Turner,IND,$18000000,,,,,,$18000000,turnemy01
188,Buddy Hield,IND,$21177750,$19279841,,,,,$40457591,hieldbu01
189,Brandon Boston Jr.,LAC,$1563518,$1836096,,,,,$1563518,bostobr01
190,Jason Preston,LAC,$1563518,$1836096,,,,,$1563518,prestja01
191,Xavier Moon,LAC,$1637966,,,,,,,moonxa01
192,Moses Brown,LAC,$1836090,,,,,,,brownmo01
193,Terance Mann,LAC,$1930681,$10576923,$11423077,,,,$23930681,mannte01
194,Amir Coffey,LAC,$3395062,$3666667,$3938271,,,,$11000000,coffeam01
195,John Wall,LAC,$47345760,$6802950,,,,,$13281950,walljo01
196,Ivica Zubac,LAC,$10123457,$10933333,$11743210,,,,$32800000,zubaciv01
197,Nicolas Batum,LAC,$19700319,$11710818,,,,,$22554168,batumni01
198,Reggie Jackson,LAC,$11215260,,,,,,$11215260,jacksre01
199,Robert Covington,LAC,$12307692,$11692308,,,,,$24000000,covinro01
200,Luke Kennard,LAC,$14415545,$15418363,$15418363,,,,$29833908,kennalu01
201,Marcus Morris,LAC,$16372093,$17116279,,,,,$33488372,morrima03
202,Norman Powell,LAC,$16758621,$18000000,$19241379,$20482758,,,$74482758,powelno01
203,Paul George,LAC,$42492492,$45640084,$48787676,,,,$88132576,georgpa01
204,Kawhi Leonard,LAC,$42492492,$45640084,$48787676,,,,$88132576,leonaka01
205,Max Christie,LAL,$1017781,$1719864,,,,,$2737645,chrisma02
206,Austin Reaves,LAL,$1563518,,,,,,,reaveau01
207,Jay Huff,LAL,$1637966,,,,,,,huffja01
208,Juan Toscano-Anderson,LAL,$1836090,,,,,,$1836090,toscaju01
209,Troy Brown Jr.,LAL,$1836090,,,,,,$1836090,browntr01
210,Thomas Bryant,LAL,$1836090,,,,,,$1836090,bryanth01
211,Wenyen Gabriel,LAL,$1878720,,,,,,,gabriwe01
212,Damian Jones,LAL,$2298385,$2586665,,,,,$2298385,jonesda03
213,Kendrick Nunn,LAL,$5250000,,,,,,$5250000,nunnke01
214,Lonnie Walker IV,LAL,$6479000,,,,,,$6479000,walkelo01
215,Patrick Beverley,LAL,$13000000,,,,,,$13000000,beverpa01
216,Anthony Davis,LAL,$37980720,$40600080,$43219440,,,,$78580800,davisan02
217,LeBron James,LAL,$44474988,,,,,,$44474988,jamesle01
218,Russell Westbrook,LAL,$47063478,,,,,,$47063478,westbru01
219,Kennedy Chandler,MEM,$1200000,$1719864,$2019699,$2187451,,,$7127014,chandke01
220,Xavier Tillman Sr.,MEM,$1782621,$1930681,,,,,$1782621,tillmxa01
221,Killian Tillie,MEM,$1901625,,,,,,$1901625,tilliki02
222,Santi Aldama,MEM,$2094120,$2194200,$3960531,,,,$2094120,aldamsa01
223,Desmond Bane,MEM,$2130240,$3845083,,,,,$2130240,banede01
224,John Konchar,MEM,$2300000,$2400000,$6165000,$6165000,$6165000,,$21735000,konchjo01
225,David Roddy,MEM,$2588640,$2718240,$2847240,$4831766,,,$5306880,roddyda01
226,Jake LaRavia,MEM,$3047640,$3199920,$3352680,$5163127,,,$6247560,laravja01
227,Brandon Clarke,MEM,$4343920,,,,,,$4343920,clarkbr01
228,Ziaire Williams,MEM,$4591680,$4810200,$6133005,,,,$4591680,willizi02
229,Danny Green,MEM,$10000000,,,,,,,greenda02
230,Dillon Brooks,MEM,$11400000,,,,,,$11400000,brookdi01
231,Ja Morant,MEM,$12119440,$33250000,$35910000,$38570000,$41230000,$43890000,$204969440,moranja01
232,Tyus Jones,MEM,$15000000,$14000000,,,,,$29000000,jonesty01
233,Steven Adams,MEM,$17926829,,,,,,$17926829,adamsst01
234,Jaren Jackson Jr.,MEM,$28946605,$27102202,$25257798,$23413395,,,$104720000,jacksja02
235,Orlando Robinson,MIA,$1017781,,,,,,,robinor01
236,Omer Yurtseven,MIA,$1752638,,,,,,,yurtsom01
237,Haywood Highsmith,MIA,$1752638,$1902137,,,,,,highsha01
